id,payor,payee,amount
31826,Steve Blackford,Joan Bailey,7.1
31827,Billy Mccarrel,Dale Taylor,0.2
31828,David Hendrickson,Rene Collins,2.8
31829,Debra Rhodus,Avis Craft,22.0
31830,Maxine Perza,Becky Armstrong,1.2
31831,Dianna Torry,Ann Donaldson,90.6
31832,Emily Seneca,Maxine Perza,345.2
31833,Sandra Maas,Rebecca Johnson,5.1
31834,Landon Lindsey,David Haage,5.1
31835,Floyd Olson,Barbara Thompson,2.4
31836,Linda Lavoie,Jaime Becerra,8.2
31837,Donna Edwards,Kurt Vagliardo,2.0
31838,Shannon Cox,Jill Bogar,15.963999999999999
31839,Gwen Young,Robert Whetstine,69.058
31840,Tracy Gagnon,Elizabeth Langer,0.8
31841,Amber Wilson,Julius Armes,3.6
31842,Gwen Young,Tanya Henderson,2.7
31843,Janet Martin,Donna Goodwin,4.7
31844,Claudia Gratz,Carol Sellner,13.453999999999999
31845,Pamela Marshall,Debra Blank,0.1
31846,Billy West,James Sherrod,3.1
31847,Kendall Hall,Mike Jamison,486.1
31848,Michael Jones,Susan Lehnortt,1.3
31849,Ernestine Welsh,Tatiana Broyles,0.3
31850,Samantha Mellerson,Thomas Seay,10.4
31851,Shawn Harper,William Bates,2.0
31852,Grace Mendez,Ian Shiver,6.0
31853,Dustin Winn,William Mcginty,2.9
31854,Barbara Goetz,Christopher Skidmore,11.6
31855,David Lejeune,Teresa Erdmann,4.9
31856,Cynthia Ray,Donald Darley,5.8
31857,Peggy Dowlin,Bertha Samuelson,0.6
31858,Vida Aguilar,Jose Pao,9.2
31859,Raymond Walker,Peter Comstock,9.8
31860,Christopher Chaffee,Teresa Milne,9.4
31861,Sonia Snedegar,Viola Ake,135.5
31862,Edward Moseley,Steven Cassem,0.3
31863,Darnell Brown,Bertha Mcgrew,7.1
31864,William Marlowe,Jeffrey Parrish,133.9
31865,Janice Dumlao,Jason Goodrich,91.6
31866,Kimberly Coston,Erin Dawkins,1.1
31867,Billy Tyler,Kim Sprague,9.1
31868,Eric Reece,Mark Jeffries,61.9
31869,Marilyn Timlin,Donna Edwards,89.1
31870,Kitty Cleek,Jeffrey Lewis,12.6
31871,Maxine Perza,Elizabeth Anderson,5.6
31872,Vinnie Walt,Karen Stoker,8.0
31873,Robert Madonia,Nancy Denton,0.8
31874,Curtis Garrison,Oscar Smith,9.0
31875,Ethel Stehle,Cristobal Harris,3.1
31876,Joseph Lopez,Joseph Tillery,72.1
31877,Sherry Adams,Terry Smith,225.5
31878,Ramona Hansen,Juan Curran,29.5
31879,Dalia Whitaker,Eula Blasko,9.2
31880,John Thomas,Aaron Young,31.062
31881,Joann Fowlkes,Sean Desano,2.9
31882,Jo Patterson,Douglas Finnie,392.9
31883,Virginia Moss,Larry Minyard,10.0
31884,Katherine Hamilton,Leroy Stovall,297.5
31885,Fredrick Escobar,Susan Cha,0.8
31886,Sandra Maas,Patrick Toupin,11.334999999999999
31887,James Casarez,Robert Araujo,340.8
31888,Belinda Jones,Sally Perry,8.4
31889,Audrey Hall,William Mason,0.5
31890,Charles Rousseau,Royal Lyall,2.3
31891,Ricky Jinkens,Lewis Cox,0.1
31892,Milagros Burroughs,Jose Patterson,62.4
31893,Chelsea Randolph,Joseph Green,0.5
31894,Irma Copeland,Mark Deubner,919.2
31895,Ronald Patel,William Strefeler,0.2
31896,Gwen Young,Stanley Junkins,3.7
31897,Paul Burke,Lucy Jeffcoat,0.4
31898,Keneth Banks,Dale Stradley,5.6
31899,Robert Venegas,Maria Kirkpatrick,27.7
31900,April Broten,John Marquez,9.2
31901,Michael Crouse,Emily Seneca,0.6
31902,Matthew Thomas,Delpha Stanley,8.4
31903,Sandra Maas,Frederick Pease,0.2
31904,Sandra Wagaman,Anthony Dube,1.1
31905,Fernando Woods,Tammy Spiess,11.0
31906,Peter Route,June Smith,8.1
31907,Rita Ray,Blaine Thomas,134.5
31908,Martha Robles,Maurice Schoenthal,67.1
31909,Diane Fisher,Gilbert Puryear,8.5
31910,Angie Rivera,Erin Dawkins,420.4
31911,Christian Fannell,Thelma Coryell,9.6
31912,Alvin Miller,Teri Homer,2.0
31913,Michael Stickfort,Brenda Houck,4.8
31914,Peggy Kurtz,Amanda Levings,6.6
31915,Peter Castillo,Amber Buchanan,0.1
31916,Jeffrey Lewis,Ann Donaldson,0.4
31917,Lucy Jeffcoat,Loretta Bond,5.8
31918,Marian Vasmadjides,Alvin Miller,0.1
31919,Terry Abner,Susan Lehnortt,7.7
31920,Daniel Charles,Henry Noah,0.4
31921,Scott Patterson,Lily Bergeson,4.0
31922,Thomas Whitney,Patrick Gist,6.9
31923,Carlos Harting,Darnell Brown,8.2
31924,Kenneth Wiles,Sandra Holbrook,6.3
31925,Paul Jones,Glenn Ross,0.7
31926,Anna Mcfarling,Steven Cassem,0.5
31927,Tina Muncie,Dionna Gough,11.0
31928,Pamela Marshall,Dale Langan,142.0
31929,Samantha Slade,Chester Stiltner,4.9
31930,Maria Reny,Sonia Snedegar,50.722
31931,Leslie Hess,Gayle Devine,9.1
31932,Judith Billings,Milagros Burroughs,6.3
31933,Charles Gary,Emmett Greathouse,247.5
31934,Terri Carson,Mario Haman,2.2
31935,Emmett Greathouse,Lorenzo Castillo,136.4
31936,Karen Stoker,Victor Ouellette,1.9
31937,Mable Gooch,Tim Zorn,1.5
31938,William Grant,Pamela Marshall,0.4
31939,Gertrude Rizo,Benjamin Brown,4.0
31940,Barbara Thompson,Richard Hernandez,1.7
31941,Oscar Sheets,Sam Bryant,76.1
31942,Daniel Yannone,Edith New,2.5
31943,Edgar Whitmire,Chas Ochs,4.0
31944,James Simms,Helen Terhune,8.5
31945,William Mcginty,Mario Haman,2.2
31946,Francis Mendez,Clay Mateo,1.1
31947,Claudia Gratz,Patrick Gist,1.1
31948,Sergio Rowland,Theodore Williams,9.2
31949,Marion Duncan,Thelma Ervin,95.6
31950,Mary Garcia,Gwen Young,0.1
31951,Gary Weston,Kevin Dotter,0.1
31952,Ronald Wright,Nick Csaszar,6.7
31953,Robert Araujo,William Mason,0.1
31954,Robert Desouza,Ada Mervis,8.8
31955,Anastasia Judd,Mable Gooch,47.219
31956,Patricia Hester,Elizabeth Morris,30.6
31957,Tim Rivera,Barbara Thompson,7.3
31958,Madeline Green,Denise Ellis,32.4
31959,Sarah Boucher,Johnathon Block,4.7
31960,Karen Stoker,Barbara Aguilar,0.4
31961,Kimberly Stone,Darrel Whitmer,529.7
31962,Christopher Strong,Diane Hilliard,2.3
31963,Victor Francis,Dave Burke,0.9
31964,Linda Lavoie,Philomena Davison,6.8
31965,Mark Bucher,Terri Hernandez,15.0
31966,Joel Meadows,Barbara Mcmahan,365.3
31967,Richard Oliver,Carol Spachtholz,0.1
31968,Michael Kilman,Doris Rogers,2.5
31969,Donna Edwards,Connie Gibson,2.6
31970,Virginia Vanlandingham,Robert Wheeler,0.3
31971,Leora Warmack,Matthew Thomas,4.1
31972,Delia Collis,Antonio Richardson,43.2
31973,Amber Buchanan,Barbara Thompson,36.4
31974,Joseph Green,Steven Cassem,4.8
31975,David Cross,Peter Comstock,291.3
31976,Elaine Caple,Annie Ammons,247.4
31977,Keith Jones,David Jackson,3.5
31978,Constance Wells,Joseph Hedgepeth,3.7
31979,Maria Martinez,Kathy Pendergraph,4.5
31980,Joan Bailey,Cherie Begay,506.2
31981,Thelma Coryell,Tim Rodriguez,0.1
31982,William Szymanski,Daryl Austin,11.3
31983,Aldo Boggs,Shawn Butler,2.1
31984,Patricia Huey,Roger Marshall,5.7
31985,Clay Mateo,Tatiana Patterson,1.5
31986,Lorenzo Castillo,Paul Burke,7.3
31987,Carol Sellner,James Jarrett,9.9
31988,Angelica Patterson,Kina Miller,7.2
31989,Bernice Davis,Daniel Mosher,9.8
31990,Robert Rich,Walter Huddleston,733.8
31991,Breanna Kitt,Karen Stoker,0.6
31992,Pamela Begay,Mary Martin,0.8
31993,Julia Segura,Mary Luvene,19.1
31994,Kenneth Wiles,Rodrick Moore,0.1
31995,Jana Landers,Keneth Banks,0.2
31996,Robert Wheeler,James Casarez,800.4
31997,Delia Collis,Alvin Lawrence,0.6
31998,Janet Henry,Marcella Goodrich,7.4
31999,Kathryn Hanlon,Patsy Beach,29.3
32000,Robert Wheeler,Rachael Shumate,8.7
32001,Candace Moreland,Christopher Gilliam,0.1
32002,Scott Arredondo,Peter Castillo,16.0
32003,Delana Adkins,David Kelley,8.2
32004,Marilyn Larkin,Michael Crouse,8.2
32005,Richard Ayala,Beatrice Carey,16.3
32006,Anthony Dube,Sonia Snedegar,27.1
32007,Kimberly Coston,Michael Navarro,7.5
32008,Fredric Barnes,Annette Pacheo,278.6
32009,Mike Ferguson,Charles Rousseau,1.2
32010,David Haage,Guy Trinh,478.5
32011,Jennie Whittenberg,Wyatt Wedel,205.2
32012,Justin Hamilton,Debra Segura,2.2
32013,Johnathan Clark,Amy Salvador,3.6
32014,Willie Webster,Dwayne Blau,7.8
32015,Theodore Williams,Karen Peterson,2.5
32016,Reginald Eatmon,Connie Smith,6.1
32017,James Schwab,Jane Liriano,8.7
32018,Janice Dumlao,Richard Ortiz,0.5
32019,Emmett Greathouse,Paula Lagarde,0.1
32020,Johnny Atwood,Michael Patrick,4.3
32021,Morton Gillette,Irving Bennett,809.6
32022,Willis Wilson,Carol Sellner,2.4
32023,Billy West,Rosita Simpson,0.3
32024,Susan Mcgraw,Susan Cha,7.0
32025,Roxanne Bulfer,Billy West,0.2
32026,Patricia Pierre,Donald Ott,2.1
32027,Susan Tupper,Elaine Taylor,12.142
32028,Marilyn Larkin,Rita Thornton,38.702999999999996
32029,Barbara Thompson,Bertha Mcgrew,6.1
32030,Cory Whitney,John Booker,4.5
32031,Connie Smith,Jose Deem,193.3
32032,Joel Meadows,William Carnes,1.2
32033,Sarah Sanchez,Carol Sellner,7.0
32034,Peter Comstock,Connie Gibson,5.2
32035,Kenneth Ballance,William Zook,69.8
32036,Donna Stallings,Terri Carson,3.6
32037,Juan Curran,Ronda Pollitt,0.7
32038,Virginia Moss,Grace Williams,8.9
32039,Tara Hudson,Warren Cunningham,5.0
32040,Dwayne Shafer,Sandra Martin,1.9
32041,Carla Basham,Helen Castrejon,0.8
32042,Teresa Evans,Ruth Quezada,0.1
32043,Carl Sollars,Jeffrey Mosley,1.1
32044,Kina Miller,Angie Rivera,6.2
32045,Diane Pacheco,Peter Comstock,1.3
32046,Mary Clark,Eugene Rhodes,1.0
32047,Peggy Duffy,Rosita Simpson,0.2
32048,James Green,Carlos Harting,485.7
32049,Vaughn Maresco,David Haage,0.6
32050,Jerry Upchurch,Cherie Begay,2.1
32051,Stephen Nettles,April Broten,4.2
32052,Anthony Barajas,Lavina Blankenship,0.1
32053,William Carnes,Vida Aguilar,12.8
32054,Christian Parker,Joseph Hood,522.3
32055,Naomi Lee,Peggy Kurtz,0.1
32056,Dalia Whitaker,Anita Donahue,75.006
32057,Theodore Williams,Helen Terhune,9.2
32058,Kent Vincent,Willie Webster,108.2
32059,Curtis Garrison,Bernice Galvan,8.6
32060,Albert Lemasters,Jane Billiot,3.0
32061,Jose Patterson,Willis Wilson,100.0
32062,Patrick Toupin,Stephen Faust,5.6
32063,Sergio Rowland,Richard Fontaine,5.7
32064,Floyd Olson,Maria Mitchell,16.1
32065,Anthony Story,Antonio Richardson,6.5
32066,Angie Rivera,Eric Reece,38.3
32067,Chelsea Randolph,Erin Dawkins,8.9
32068,Henry Lawler,Kathy Pendergraph,0.5
32069,Sandra Maas,Sherri Derby,5.6
32070,Mark Jeffries,Ruth Quezada,0.1
32071,Teresa Evans,Walter Elkins,0.8
32072,Mark Jeffries,Felipe Lowrance,9.6
32073,Kim Sprague,Jeffrey Parrish,256.5
32074,Johnathon Block,Amanda Levings,7.8
32075,Linda Enriquez,Rafael Camargo,0.2
32076,Edward Moseley,Eric Sake,0.2
32077,Luis Whalen,Keith Jones,184.7
32078,Mark Bucher,George Grant,737.0
32079,Lara Ziego,Ruth Quezada,102.2
32080,Cynthia Hollomon,Nancy Denton,46.311
32081,Wallace Wison,Jeffrey Parrish,9.2
32082,Zachary Joyal,Kevin Dotter,3.5
32083,Joseph Alfaro,Michael Ignacio,0.2
32084,Isaac Raio,Nick Csaszar,241.2
32085,Diane Watts,Robert Madonia,4.2
32086,Kevin Blackmon,Linda Scruggs,8.2
32087,Ramona Hansen,Margaret Rossi,109.3
32088,Alvin Miller,Gayle Devine,23.7
32089,Vinnie Walt,Marguerite Roe,0.1
32090,Patricia Huang,Richard Preslipsky,3.0
32091,Daniel Charles,Clarence Wooten,5.2
32092,Ryan Schroeder,William Sim,0.5
32093,Michael Cross,Sonia Snedegar,0.8
32094,Lee Morse,Tina Sheridan,465.5
32095,Barbara Kennedy,Karen Stoker,0.3
32096,Theodore Thomas,Edward Schaffer,2.7
32097,Rita Conway,Carl Sollars,0.5
32098,Philomena Davison,Jorge Talbot,0.4
32099,Joann Fowlkes,Freeman Ahmed,8.1
32100,Michael Peterson,Samantha Mellerson,6.2
32101,Rita Snider,Randy Layne,236.3
32102,Rita Wilson,Michael Emory,1.6
32103,Joseph Tyler,Robert Sporle,8.7
32104,Elizabeth Langer,William Young,887.2
32105,Becky Armstrong,Alvin Miller,5.5
32106,Cherie Taylor,Calvin Hough,8.5
32107,Susan Tupper,Alexander Gibson,805.5
32108,Elizabeth Peng,Fredrick Escobar,6.8
32109,Tatiana Broyles,Susan Tupper,33.8
32110,Royal Lyall,Ricky Jinkens,0.2
32111,Debbie Blanchard,Luciana Vicars,0.4
32112,Sergio Rowland,Donald Gartin,1.7
32113,Leroy Garcia,Dalia Whitaker,16.4
32114,David Ryan,Dale Robinson,1.3
32115,Anthony Barajas,Jose Blais,191.5
32116,Ida Kimbrough,Celeste Lowman,179.3
32117,Peter Castillo,Marcella Goodrich,1.1
32118,Carol Sellner,Kristin Hodges,9.3
32119,Charlene Woody,Willie Rappa,79.643
32120,Randall Bean,Alex Ponce,215.3
32121,Mike Jamison,Pamela Marshall,32.4
32122,Roxy Burdock,Lai Gardner,11.8
32123,Sergio Rowland,Troy Gowen,9.6
32124,William Sim,Ina Scoby,15.837
32125,Carl Sollars,Lewis Cox,49.495
32126,Edythe Wong,Deborah Floyd,0.1
32127,David Solberg,Rebecca Trogdon,1.3
32128,Denise Ellis,Samantha Mellerson,29.6
32129,Lisa Rodriguez,Kathy Spalding,3.6
32130,Angie Rivera,Edwin Araujo,73.8
32131,Joann Fowlkes,John Fahey,1.4
32132,Juan Curran,Gracie Johnson,0.5
32133,Louise Kocher,John Anderson,277.9
32134,Curtis Garrison,Jerome Tarbutton,359.4
32135,David Allen,Kathy Pendergraph,8.9
32136,Cristobal Harris,Kent Vincent,14.2
32137,Derek Eaton,Anthony Story,4.7
32138,Royal Lyall,Mary Lebeau,905.9
32139,James Suiter,Shirley Mccombs,1.1
32140,Avis Craft,Ryan Walter,8.6
32141,David Ryan,Alvin Lawrence,36.1
32142,David Shelpman,Claudia Gratz,1.4
32143,Marie Brown,James Becker,59.8
32144,Charles Gary,Thelma Coryell,0.3
32145,Daniel Mosher,Gloria Coburn,0.3
32146,Virginia Vanlandingham,Leora Warmack,36.6
32147,Frederick Pease,Lawrence Rabb,1.3
32148,Amanda Haynes,Martha Hubbard,15.1
32149,Sarah Boucher,Patsy Beach,0.1
32150,Jill Bogar,David Johnston,29.7
32151,Nancy Longoria,Victor Ouellette,10.681999999999999
32152,Connie Smith,Anthony King,253.4
32153,Martha Robles,Sandra Dillingham,1.7
32154,William Mason,Dale Taylor,8.9
32155,Amber Hicks,Anastasia Proctor,2.9
32156,Maria Reny,David Khan,7.8
32157,Blair Purvis,Rolf Neale,2.4
32158,Carla Basham,William Grant,6.4
32159,Jeffery Turner,Darnell Brown,105.7
32160,Teresa Anderson,Terry Smith,0.2
32161,Jennie Whittenberg,Edward Moseley,9.1
32162,Mary Lampman,Betty Duncan,1.1
32163,Mary Wilson,Lai Gardner,1.2
32164,Robert Venegas,Howard Randall,2.0
32165,Margaret Rossi,German West,13.661000000000001
32166,Sharon Cleckler,Paul Burke,9.3
32167,Justina Mclaine,Fernando Woods,34.8
32168,Jeffrey Taylor,George Grant,2.8
32169,Karl Mccosker,Jesus Klein,10.193000000000001
32170,Rita Wilson,Bernice Davis,468.8
32171,Chelsea Randolph,David Miller,5.5
32172,Raymond Taggart,Shannon Cox,2.7
32173,Jennifer Caldon,Michael Paxton,0.6
32174,Phyllis Walter,Tad Olson,274.9
32175,Dolores Roy,Julia Roberts,1.1
32176,Sally Lamb,Rita Thornton,2.2
32177,Robert Sporle,Richard Preslipsky,9.8
32178,Sharon Cleckler,Donna Sommer,3.1
32179,Annie Ammons,Randy Layne,0.2
32180,Robert Jarvis,Robert Garo,960.1
32181,Denise Ellis,Fernando Woods,0.8
32182,Christopher Johnson,David Hendrickson,2.9
32183,Debra Blank,Donald Gartin,1.8
32184,Lara Ziego,Walter Elkins,0.2
32185,Grace Mendez,Michael Fuller,0.1
32186,Irving Bennett,Eric Portillo,8.4
32187,Adeline Fullwood,Debra Hulbert,0.1
32188,Walter Huddleston,Donna Rhodes,5.2
32189,Pamela Wilson,Cynthia Hollomon,289.5
32190,Madeline Green,Edward Wang,25.1
32191,Loretta Bond,Virginia Earvin,0.5
32192,Bertha Mcgrew,Amber Rogers,1.2
32193,Tracy Gagnon,Delpha Stanley,9.7
32194,John Booker,Lucy Bromley,70.477
32195,Jose Janelle,Ruth Quezada,4.7
32196,Mildred Lo,Michael Ashley,0.8
32197,Francis Lilly,Luciana Vicars,0.8
32198,Alice Pickup,Mike Jamison,1.4
32199,Kimberly Stone,Amber Wilson,9.9
32200,Kenneth Wiles,Emily Hermann,2.2
32201,Angel Lamontagne,Delia Collis,5.5
32202,Wayne Williams,Jorge Talbot,0.1
32203,Robert Grissom,Marshall Canpos,11.4
32204,Clay Mateo,Edythe Wong,9.0
32205,Joseph Tyler,Raymond Taggart,0.3
32206,Scott Arredondo,Angelique Holman,8.2
32207,Jean Goldfarb,Sharon Cole,2.8
32208,Chester Stiltner,Sherri Culpepper,3.5
32209,Ralph Ellis,James Finley,129.3
32210,Samantha Slade,William Rogers,16.3
32211,Tanya Duffy,Marcella Goodrich,0.4
32212,Keli Opie,Laura Olson,0.5
32213,Erin Dawkins,Stephanie Flowers,0.2
32214,Amanda Levings,Daniel Mosher,17.6
32215,Stacey Mcdonald,Gayle Baldwin,15.7
32216,Sarah Boucher,Melanie Ellison,5.8
32217,Sandra Dillingham,Douglas Finnie,0.6
32218,William Marlowe,Sheryl Vo,69.7
32219,Bonnie Mathieu,Jerry Atwell,166.4
32220,Earle Johnson,Jess Collins,5.0
32221,Carlos Harting,Susan Cha,21.802
32222,Jose Butler,George Kassin,54.1
32223,Jane Billiot,Carlos Fields,4.2
32224,Octavia Suarez,Elizabeth Peng,1.4
32225,Jose Blais,Billy Mccarrel,9.5
32226,Vaughn Maresco,Warren Cunningham,214.3
32227,Jeffrey Taylor,Michael Crouse,1.0
32228,Angela Campbell,Sara Menendez,27.2
32229,David Ryan,Eleanor Martinez,0.5
32230,Norbert Sokoloski,Devon Laster,60.2
32231,Mary Martin,Claudia Gratz,0.6
32232,Irving Bennett,Michael Fuller,0.2
32233,William Szymanski,Rafael Camargo,0.7
32234,Jacquelyn Bowers,Shawn Harper,0.2
32235,Eric Portillo,Claude Cox,7.0
32236,Stephen Moss,Sarah Boucher,0.5
32237,Wanda Mcgary,Michael Ashley,1.8
32238,Stephanie Flowers,Walter Huddleston,31.2
32239,Earle Johnson,Roxanne Bulfer,1.4
32240,Jeffrey Taylor,Edwin Araujo,421.4
32241,Kathleen Hoffman,Tina Sheridan,0.2
32242,Barbara Aguilar,Billy Mercado,25.9
32243,Charles Rousseau,Roxy Burdock,2.9
32244,Sally Lamb,Alice Pickup,34.324
32245,Sharon Cleckler,Gloria Coburn,0.3
32246,Henry Lawler,Sherry Adams,5.2
32247,Mary Huro,Rita Snider,10.6
32248,Amy Brown,Ethel Stehle,21.000999999999998
32249,Tatiana Patterson,Sean Desano,1.8
32250,George Grant,Carolyn Burton,0.1
32251,Kathleen Hoffman,Adam Crum,7.0
32252,Adeline Fullwood,Donald Perkins,245.4
32253,William Carnes,Mike Jamison,4.1
32254,Paul Jefferson,Richard Hernandez,6.4
32255,Donald Perkins,Elaine Taylor,44.8
32256,Lorenzo Castillo,Suzette Marston,0.6
32257,Jennie Whittenberg,Anastasia Judd,6.4
32258,Bertha Mcgrew,Adeline Fullwood,0.7
32259,Wallace Wison,Walter Keller,11.501999999999999
32260,Stephanie Mallette,William Mcginty,40.1
32261,Roger Marshall,Aaron Young,5.7
32262,Robert Araujo,Vincent Newport,0.8
32263,Stephan Santamaria,Robert Steier,5.7
32264,Anna Mcfarling,Laura Cochran,6.1
32265,Thelma Ervin,Samantha Ball,9.1
32266,Jimmy Lopez,Doris Dickey,8.8
32267,Josefina Lucas,Marcus Nolan,9.5
32268,Jose Deem,Stephen Nettles,5.2
32269,Samantha Ball,Robert Sporle,0.1
32270,Petra Ingram,Michael Peterson,89.2
32271,Richard Ayala,Samantha Hawes,0.5
32272,David Jackson,James March,83.0
32273,Eric Reece,William Lovelace,213.9
32274,Chester Stiltner,Ronald Jones,1.1
32275,Teresa Erdmann,Roger Marshall,0.0
32276,David Solberg,Mary Glickman,9.4
32277,Robert Araujo,Stephen Gary,2.7
32278,Timothy Yarbrough,David Martinez,5.4
32279,Benny Legere,Jason Mumaw,0.9
32280,Grace Williams,Laura Olson,5.3
32281,Janet Coles,James Bailey,4.1
32282,Nancy Denton,Paul Jefferson,349.6
32283,Debra Blank,Michael Crouse,0.2
32284,Lena Patterson,Ron Mckinney,2.3
32285,Allen Lucero,Daniel Mosher,2.8
32286,Anthony Burcham,Edythe Wong,8.2
32287,Fredrick Escobar,Sandra Mcneil,166.4
32288,Walter Cathey,Annie Ammons,27.0
32289,Wilbert Cook,Patricia Seals,1.1
32290,Steve Blackford,Richard Hernandez,811.4
32291,Julio Vanscooter,Lena Patterson,48.4
32292,Donald Perkins,Derek Fisher,55.1
32293,Debra Hulbert,Eric Sake,6.9
32294,Octavia Suarez,Joseph Lopez,4.6
32295,James March,Anna Gaub,14.4
32296,Nia Green,Todd Yocum,8.5
32297,Courtney Craig,Dale Stradley,31.4
32298,Jeffery Turner,Steve Blackford,5.0
32299,Jose Deem,Anna Hall,12.9
32300,Jane Liriano,Earle Johnson,1.9
32301,Diane Pacheco,Emily Hermann,1.0
32302,Jose Deem,Nick Leiva,8.5
32303,Vickie Johnson,Beverly Beebe,3.5
32304,Christopher Lindsey,Philomena Davison,2.0
32305,Ashley Cook,Claude Cox,271.4
32306,Eugene Dickerson,Carol Spachtholz,0.8
32307,Samantha Slade,Marie Brown,29.4
32308,Patrick Gist,Richard Hernandez,1.4
32309,Aaron Young,Brenda Chapen,8.1
32310,Dustin Winn,Vi Seawright,1.4
32311,Tina Reinke,Donna Rhodes,0.3
32312,Evelyn Vargas,Sharlene Phelan,1.2
32313,Diane Mcbride,Roger Thomas,0.2
32314,Ruthann Tarrant,Douglas Davis,11.4
32315,William Lovelace,Grace Williams,3.3
32316,Karen Stoker,Helen Silmon,5.8
32317,James Sherrod,Elizabeth Anderson,36.075
32318,Christopher Lindsey,James Casarez,4.4
32319,Lewis Cox,Thomas Miller,6.5
32320,Daniel Sanders,James Roling,18.6
32321,Theresa Govea,William Zook,1.6
32322,Erich Gaines,Christopher Chaffee,7.4
32323,Tatiana Patterson,Deborah Floyd,0.2
32324,Robert Sporle,Robert Long,324.9
32325,Maria Schappert,Elaine Caple,7.8
32326,James Schwab,Christopher Strong,0.1
32327,Douglas Davis,Michael Paxton,313.4
32328,Douglas Finnie,Raymond Taggart,0.3
32329,Roxy Burdock,Nicole Stalling,0.4
32330,Timothy Peterson,Mary Wilson,0.7
32331,Kevin Blackmon,Christopher Chaffee,0.3
32332,Reginald Eatmon,Laura Cochran,17.8
32333,Terry Lizarraga,Pamela Stewart,9.2
32334,Michael Paxton,Jonathan Mccombs,29.3
32335,Ruthann Tarrant,Robert Steier,36.4
32336,Antonio Richardson,Victor Ouellette,240.6
32337,Robert Jones,Alexander Gibson,1.7
32338,Michael Paxton,Debra Segura,0.1
32339,Christopher Skidmore,Joan Bailey,5.7
32340,James Asher,Candace Moreland,19.2
32341,Terry Hill,James March,5.8
32342,Richard Robinson,Ann Donaldson,50.7
32343,Marilyn Larkin,John Shotwell,0.2
32344,Barry Nagase,Terry Abner,135.7
32345,Susan Walker,Hobert Ventura,1.8
32346,Wilbert Cook,Angela Thomas,0.2
32347,Thomas Seay,Randall Lopez,0.4
32348,Reginald Eatmon,Paul Jones,1.0
32349,Robert Sporle,Matthew Thomas,1.0
32350,Stephan Santamaria,Devon Laster,340.8
32351,Chelsea Randolph,Grace Matuszewski,578.3
32352,Stephen Jordan,Margaret Massey,0.3
32353,Kitty Cleek,Janet Henry,6.1
32354,Joann Bay,Johnathan Clark,5.5
32355,Robert Rich,Stephen Nettles,242.0
32356,Milagros Burroughs,Charles Robinson,6.3
32357,Cindy Mooney,Sharon Cleckler,5.2
32358,Thelma Ervin,Martha Robles,6.5
32359,June Smith,Christine Williams,4.4
32360,Lily Bergeson,Ida Kimbrough,581.6
32361,Lucy Bromley,Matthew Horton,0.1
32362,Mimi Filion,Melinda Harr,4.7
32363,Angie Rivera,Amanda Levings,1.9
32364,Robert Jarvis,Teresa Evans,22.419
32365,Janis Moree,Marcus Nolan,2.0
32366,Dwayne Blau,Peter Comstock,8.9
32367,German West,Rebecca Johnson,2.7
32368,David Martinez,Joseph Richardson,48.0
32369,Linda Backey,Kathy Pendergraph,8.6
32370,Timothy Peterson,Amber Rogers,8.7
32371,Amber Rogers,Colene Edelman,799.2
32372,Daniel Nimox,Gloria Larson,5.8
32373,Sarah Miller,Celeste Lowman,23.182
32374,Samantha Reyes,Christopher Hyatt,0.1
32375,William Sim,Anna Mcfarling,3.6
32376,Anna Hall,Julio Vanscooter,9.9
32377,Joseph Hood,Edward Moseley,7.6
32378,Ryan Walter,Homer Peters,256.6
32379,Clarence Albrecht,Cynthia Johnson,10.2
32380,Lavina Blankenship,Adam Crum,2.9
32381,Maria Kirkpatrick,Kevin Nixon,0.1
32382,Clyde Garmon,Jean Williams,0.1
32383,Robert Venegas,Julie Livingston,7.9
32384,Becky Armstrong,Mabel Ray,161.4
32385,Landon Lindsey,Nancy Neubauer,0.3
32386,Marvin Reitmeier,Herman Rodriguez,1.6
32387,Elizabeth Mcguffee,Raymond Taggart,0.1
32388,Stephen Gary,Mark Jeffries,0.2
32389,Irving Bennett,Edward Moseley,65.4
32390,Ernest Herrera,Billy Tyler,165.6
32391,James Asher,Cindy Martin,9.6
32392,Odelia Dent,Anthony Dube,0.1
32393,Donna Goodwin,Pamela Marshall,9.0
32394,Gerardo Ogren,Martha Hubbard,7.6
32395,Oscar Sheets,Robert Jones,9.5
32396,Suzanne Hines,John English,0.0
32397,Kathryn Macy,Theresa Harrell,4.3
32398,Linda Wolfe,Emily Hermann,1.5
32399,Amber Hicks,Amber Buchanan,4.7
32400,Donald Irwin,Peter Castillo,0.7
32401,Aurelio Schmidt,Ralph Ellis,836.8
32402,Lucy Jeffcoat,Richard Linton,159.5
32403,Aaron Young,Stephanie Flowers,1.0
32404,Donna Stallings,Jose Janelle,1.2
32405,June Smith,Mary Martin,0.6
32406,Virginia Moss,Mark Williams,0.4
32407,Clarence Wooten,Dale Langan,11.6
32408,Cassandra Fuhrman,James Casarez,7.8
32409,Linda Enriquez,Christopher Johnson,65.6
32410,Nancy Longoria,Eleanor Martinez,4.0
32411,Raymond Taggart,Elizabeth Brown,16.0
32412,Marvin Reitmeier,Stanley Matthews,83.7
32413,Clay Mateo,Gary Weston,248.2
